"Sygnatura czasowa","Age","Primary streaming service","Hours per day","While working","Instrumenalist","Composer","Fav genre","Exploratory","Foreign languages","BPM","Frequency [Classical]","Frequency [Country]","Frequency [EDM]","Frequency [Folk]","Frequency [Gospel]","Frequency [Hip hop]","Frequency [Jazz]","Frequency [K pop]","Frequency [Latin]","Frequency [Lofi]","Frequency [Metal]","Frequency [Pop]","Frequency [R&B]","Frequency [Rap]","Frequency [Rock]","Frequency [Video game music]","Anxiety","Depression","Insomnia","OCD","Music effects"
"2023/06/06 1:56:10 AM EEST","20","Spotify","2","Yes","Yes","No","Rock","Yes","Yes","90","Sometimes","Never","Never","Never","Never","Never","Rarely","Rarely","Rarely","Sometimes","Never","Very frequently","Rarely","Rarely","Very frequently","Never","3","1","0","2","No effect"
"2023/06/06 3:10:47 AM EEST","20","Spotify","2.5","Yes","Yes","No","Rock","Yes","Yes","115bpm","Rarely","Never","Sometimes","Never","Never","Sometimes","Rarely","Rarely","Never","Rarely","Rarely","Very frequently","Sometimes","Very frequently","Very frequently","Never","9","8","6","4","Improve"
"2023/06/06 3:12:21 AM EEST","20","Spotify","2","Yes","Yes","No","Rock","Yes","Yes","131","Sometimes","Sometimes","Rarely","Rarely","Rarely","Sometimes","Sometimes","Never","Sometimes","Sometimes","Rarely","Sometimes","Sometimes","Never","Very frequently","Rarely","4","3","0","4","Improve"
"2023/06/06 8:18:22 AM EEST","21","Spotify","7.0","Yes","Yes","No","Metal","Yes","Yes","170","Very frequently","Never","Never","Never","Never","Sometimes","Sometimes","Never","Never","Never","Very frequently","Rarely","Rarely","Sometimes","Very frequently","Rarely","4","1","2","1","No effect"
"2023/06/06 9:42:48 AM EEST","21","Spotify","3.0","No","No","No","Rock","Yes","Yes","150","Rarely","Never","Never","Never","Never","Sometimes","Sometimes","Never","Sometimes","Very frequently","Sometimes","Very frequently","Sometimes","Sometimes","Very frequently","Never","8","5","6","5","Improve"
"2023/06/06 9:44:07 AM EEST","21","Spotify","3","Yes","Yes","No","Rock","Yes","Yes","120","Sometimes","Never","Never","Rarely","Rarely","Never","Sometimes","Never","Rarely","Sometimes","Never","Very frequently","Rarely","Never","Very frequently","Rarely","6","1","2","1","Improve"
"2023/06/06 9:44:30 AM EEST","22","Spotify","4","No","No","No","Rock","Yes","Yes","78","Very frequently","Sometimes","Rarely","Rarely","Never","Sometimes","Sometimes","Never","Rarely","Rarely","Rarely","Sometimes","Rarely","Sometimes","Very frequently","Rarely","3","8","8","5","Improve"
"2023/06/06 10:15:10 AM EEST","21","Spotify","2.4","Yes","No","No","Rock","No","Yes","104","Rarely","Rarely","Never","Never","Never","Sometimes","Never","Never","Rarely","Never","Very frequently","Very frequently","Rarely","Sometimes","Very frequently","Sometimes","8","7","0","0","Improve"
"2023/06/06 10:42:09 AM EEST","20","Other streaming service","3","Yes","No","No","Hip hop","No","Yes","60","Rarely","Never","Sometimes","Never","Rarely","Very frequently","Never","Sometimes","Never","Sometimes","Sometimes","Very frequently","Rarely","Very frequently","Sometimes","Never","5","1","3","3","Improve"
"2023/06/06 10:53:27 AM EEST","23","Spotify","7","Yes","No","No","Pop","No","Yes","100","Rarely","Sometimes","Rarely","Sometimes","Rarely","Rarely","Sometimes","Sometimes","Rarely","Never","Never","Very frequently","Sometimes","Sometimes","Sometimes","Rarely","1","0","0","0","Improve"
